Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,Weather data not available
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,47.6258303,-122.3581949,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,,,Weather data not available
Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
Mau P,2/3/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,,,Weather data not available
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,47.5589937,-122.285421,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
